の, 助詞,連体化,*,*,*,*,の,ノ,ノ
支配下, 名詞,固有名詞,一般,*,*,*,支配下,シハイカ,シハイカ
悩ん, 動詞,自立,*,*,五段・マ行,連用タ接続,悩む,ナヤン,ナヤン
文化, 名詞,一般,*,*,*,*,文化,ブンカ,ブンカ
後押し, 名詞,サ変接続,*,*,*,*,後押し,アトオシ,アトオシ
首相官邸, 名詞,固有名詞,一般,*,*,*,首相官邸,シュショウカンテイ,シュショーカンテイ
汚職, 名詞,一般,*,*,*,*,汚職,オショク,オショク
内相, 名詞,一般,*,*,*,*,内相,ナイショウ,ナイショー
首脳会議, 名詞,固有名詞,一般,*,*,*,首脳会議,シュノウカイギ,シュノーカイギ
週明け, 名詞,固有名詞,一般,*,*,*,週明け,シュウアケ,シューアケ
Electronically, 名詞,一般,*,*,*,*,*
国家転覆, 名詞,固有名詞,一般,*,*,*,国家転覆,コッカテンプク,コッカテンプク
再婚, 名詞,サ変接続,*,*,*,*,再婚,サイコン,サイコン
づく, 動詞,自立,*,*,五段・カ行イ音便,基本形,づく,ヅク,ズク
中継放送, 名詞,固有名詞,一般,*,*,*,中継放送,チュウケイホウソウ,チューケイホウソー
Children, 名詞,固有名詞,組織,*,*,*,*
短銃, 名詞,一般,*,*,*,*,短銃,タンジュウ,タンジュー
泣き叫ぶ, 動詞,自立,*,*,五段・バ行,基本形,泣き叫ぶ,ナキサケブ,ナキサケブ
離脱派, 名詞,固有名詞,一般,*,*,*,離脱派,リダツハ,リダツハ
研究室, 名詞,固有名詞,一般,*,*,*,研究室,ケンキュウシツ,ケンキューシツ
スパーク, 名詞,固有名詞,組織,*,*,*,スパーク,スパーク,スパーク
首脳会談, 名詞,固有名詞,一般,*,*,*,首脳会談,シュノウカイダン,シュノーカイダン
ベン・ヤゴダ, 名詞,一般,*,*,*,*,*
自力, 名詞,一般,*,*,*,*,自力,ジリキ,ジリキ
12, 名詞,数,*,*,*,*,*
収容, 名詞,サ変接続,*,*,*,*,収容,シュウヨウ,シューヨー
民主的, 名詞,固有名詞,一般,*,*,*,民主的,ミンシュテキ,ミンシュテキ
ラティマーロード, 名詞,一般,*,*,*,*,*
逃げろ, 動詞,自立,*,*,一段,命令ｒｏ,逃げる,ニゲロ,ニゲロ
マグニチュード, 名詞,一般,*,*,*,*,マグニチュード,マグニチュード,マグニチュード
地, 名詞,接尾,一般,*,*,*,地,チ,チ
反政府, 名詞,固有名詞,一般,*,*,*,反政府,ハンセイフ,ハンセイフ
暮れ, 名詞,副詞可能,*,*,*,*,暮れ,クレ,クレ
上海ディズニーランド, 名詞,固有名詞,一般,*,*,*,上海ディズニーランド,シャンハイディズニーランド,シャンハイディズニーランド
君, 名詞,接尾,人名,*,*,*,君,クン,クン
集合住宅, 名詞,固有名詞,一般,*,*,*,集合住宅,シュウゴウジュウタク,シューゴージュータク
ジ・アート・オブ・ザ・ディール, 名詞,固有名詞,一般,*,*,*,*
国有, 名詞,一般,*,*,*,*,国有,コクユウ,コクユー
将軍, 名詞,一般,*,*,*,*,将軍,ショウグン,ショーグン
脚, 名詞,一般,*,*,*,*,脚,アシ,アシ
サハリフ, 名詞,固有名詞,一般,*,*,*,*
米朝, 名詞,固有名詞,人名,名,*,*,米朝,ベイチョウ,ベイチョー
ワールド, 名詞,一般,*,*,*,*,ワールド,ワールド,ワールド
チャペック, 名詞,固有名詞,一般,*,*,*,チャペック,チャペック,チャペック
青瓦台, 名詞,固有名詞,一般,*,*,*,青瓦台,セイガダイ,セイガダイ
やすく, 形容詞,非自立,*,*,形容詞・アウオ段,連用テ接続,やすい,ヤスク,ヤスク
達成, 名詞,サ変接続,*,*,*,*,達成,タッセイ,タッセイ
つくれる, 動詞,自立,*,*,一段,基本形,つくれる,ツクレル,ツクレル
持ち場, 名詞,一般,*,*,*,*,持ち場,モチバ,モチバ
午後7時, 名詞,固有名詞,一般,*,*,*,午後7時,ゴゴナナジ,ゴゴナナジ
似, 動詞,自立,*,*,一段,連用形,似る,ニ,ニ
みせ, 動詞,自立,*,*,一段,連用形,みせる,ミセ,ミセ
治安当局, 名詞,固有名詞,一般,*,*,*,治安当局,チアントウキョク,チアントーキョク
構想, 名詞,サ変接続,*,*,*,*,構想,コウソウ,コーソー
バロン, 名詞,一般,*,*,*,*,バロン,バロン,バロン
防水, 名詞,サ変接続,*,*,*,*,防水,ボウスイ,ボースイ
出て, 名詞,一般,*,*,*,*,出し手,ダシテ,ダシテ
接する, 動詞,自立,*,*,サ変・−スル,基本形,接する,セッスル,セッスル
歴史的遺産, 名詞,固有名詞,一般,*,*,*,歴史的遺産,レキシテキイサン,レキシテキイサン
駐米大使, 名詞,固有名詞,一般,*,*,*,駐米大使,チュウベイタイシ,チューベイタイシ
Golf, 名詞,一般,*,*,*,*,*
含める, 動詞,自立,*,*,一段,基本形,含める,フクメル,フクメル
刑務所, 名詞,一般,*,*,*,*,刑務所,ケイムショ,ケイムショ
構え, 名詞,一般,*,*,*,*,構え,カマエ,カマエ
エクアドル, 名詞,固有名詞,地域,国,*,*,エクアドル,エクアドル,エクアドル
ディズニー, 名詞,固有名詞,人名,姓,*,*,ディズニー,ディズニー,ディズニー
進攻, 名詞,サ変接続,*,*,*,*,進攻,シンコウ,シンコー
財政赤字, 名詞,固有名詞,一般,*,*,*,財政赤字,ザイセイアカジ,ザイセイアカジ
康介, 名詞,固有名詞,人名,名,*,*,康介,コウスケ,コウスケ
設け, 動詞,自立,*,*,一段,連用形,設ける,モウケ,モーケ
連日, 名詞,副詞可能,*,*,*,*,連日,レンジツ,レンジツ
贈与, 名詞,サ変接続,*,*,*,*,贈与,ゾウヨ,ゾーヨ
浮き彫り, 名詞,一般,*,*,*,*,浮き彫り,ウキボリ,ウキボリ
クイグリー, 名詞,一般,*,*,*,*,*
経済面, 名詞,固有名詞,一般,*,*,*,経済面,ケイザイメン,ケイザイメン
守り, 動詞,自立,*,*,五段・ラ行,連用形,守る,マモリ,マモリ
フォスター, 名詞,固有名詞,人名,姓,*,*,フォスター,フォスター,フォスター
ジョン, 名詞,固有名詞,人名,名,*,*,ジョン,ジョン,ジョン
去る, 動詞,自立,*,*,五段・ラ行,基本形,去る,サル,サル
神経, 名詞,一般,*,*,*,*,神経,シンケイ,シンケイ
大学院, 名詞,一般,*,*,*,*,大学院,ダイガクイン,ダイガクイン
多大, 名詞,形容動詞語幹,*,*,*,*,多大,タダイ,タダイ
システムエンジニア, 名詞,一般,*,*,*,*,システムエンジニア,システムエンジニア,システムエンジニア
Various, 名詞,固有名詞,組織,*,*,*,*
飛び出し, 動詞,自立,*,*,五段・サ行,連用形,飛び出す,トビダシ,トビダシ
温室効果ガス, 名詞,固有名詞,一般,*,*,*,温室効果ガス,オンシツコウカガス,オンシツコーカガス
申し出, 動詞,自立,*,*,一段,連用形,申し出る,モウシデ,モーシデ
libre, 名詞,固有名詞,一般,*,*,*,Libre,リブレ,リブレ
ラウル・カストロ, 名詞,固有名詞,人名,一般,*,*,ラウル・カストロ,ラウルカストロ,ラウルカストロ
9月29日, 名詞,固有名詞,一般,*,*,*,9月29日,クガツニジュウキュウニチ,クガツニジュウキュウニチ
メルケル, 名詞,固有名詞,人名,一般,*,*,メルケル,メルケル,メルケル
さえ, 助詞,係助詞,*,*,*,*,さえ,サエ,サエ
ラマディ, 名詞,一般,*,*,*,*,*
装甲車, 名詞,一般,*,*,*,*,装甲車,ソウコウシャ,ソーコーシャ
事実関係, 名詞,固有名詞,一般,*,*,*,事実関係,ジジツカンケイ,ジジツカンケイ
ビクトル, 名詞,固有名詞,人名,名,*,*,ビクトル,ビクトル,ビクトル
最前線, 名詞,一般,*,*,*,*,最前線,サイゼンセン,サイゼンセン
難, 名詞,一般,*,*,*,*,難,ナン,ナン
市民, 名詞,一般,*,*,*,*,市民,シミン,シミン
か月, 名詞,接尾,助数詞,*,*,*,か月,カゲツ,カゲツ
当選, 名詞,サ変接続,*,*,*,*,当選,トウセン,トーセン
US, 名詞,一般,*,*,*,*,*
擁立, 名詞,サ変接続,*,*,*,*,擁立,ヨウリツ,ヨーリツ
ノーマン, 名詞,固有名詞,人名,姓,*,*,ノーマン,ノーマン,ノーマン
モスク, 名詞,一般,*,*,*,*,モスク,モスク,モスク
変化, 名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
スパイ, 名詞,一般,*,*,*,*,スパイ,スパイ,スパイ
泣い, 動詞,自立,*,*,五段・カ行イ音便,連用タ接続,泣く,ナイ,ナイ
一生懸命, 名詞,副詞可能,*,*,*,*,一生懸命,イッショウケンメイ,イッショーケンメイ
高さ, 名詞,固有名詞,一般,*,*,*,高さ,タカサ,タカサ
最新, 名詞,一般,*,*,*,*,最新,サイシン,サイシン
無断, 名詞,一般,*,*,*,*,無断,ムダン,ムダン
打ち切る, 動詞,自立,*,*,五段・ラ行,基本形,打ち切る,ウチキル,ウチキル
ボブ, 名詞,固有名詞,人名,名,*,*,ボブ,ボブ,ボブ
Group, 名詞,一般,*,*,*,*,*
トベルスカヤ, 名詞,一般,*,*,*,*,*
秋, 名詞,一般,*,*,*,*,秋,アキ,アキ
哀悼, 名詞,サ変接続,*,*,*,*,哀悼,アイトウ,アイトー
つづり, 名詞,一般,*,*,*,*,つづり,ツヅリ,ツズリ
穏健, 名詞,形容動詞語幹,*,*,*,*,穏健,オンケン,オンケン
阻止, 名詞,サ変接続,*,*,*,*,阻止,ソシ,ソシ
大人, 名詞,一般,*,*,*,*,大人,オトナ,オトナ
こぎつけ, 動詞,自立,*,*,一段,連用形,こぎつける,コギツケ,コギツケ
背筋, 名詞,一般,*,*,*,*,背筋,セスジ,セスジ
Society, 名詞,一般,*,*,*,*,*
認証, 名詞,サ変接続,*,*,*,*,認証,ニンショウ,ニンショー
野党勢力, 名詞,固有名詞,一般,*,*,*,野党勢力,ヤトウセイリョク,ヤトーセイリョク
山本, 名詞,固有名詞,人名,姓,*,*,山本,ヤマモト,ヤマモト
販売価格, 名詞,固有名詞,一般,*,*,*,販売価格,ハンバイカカク,ハンバイカカク
ケネス, 名詞,固有名詞,一般,*,*,*,ケネス,ケネス,ケネス
パナソニック, 名詞,固有名詞,組織,*,*,*,パナソニック,パナソニック,パナソニック
手製, 名詞,一般,*,*,*,*,手製,テセイ,テセイ
ガイド, 名詞,サ変接続,*,*,*,*,ガイド,ガイド,ガイド
付ける, 動詞,自立,*,*,一段,基本形,付ける,ツケル,ツケル
国土, 名詞,一般,*,*,*,*,国土,コクド,コクド
いきなり, 副詞,助詞類接続,*,*,*,*,いきなり,イキナリ,イキナリ
初当選, 名詞,固有名詞,一般,*,*,*,初当選,ハツトウセン,ハツトーセン
引き起こす, 動詞,自立,*,*,五段・サ行,基本形,引き起こす,ヒキオコス,ヒキオコス
環境省, 名詞,固有名詞,組織,*,*,*,環境省,カンキョウショウ,カンキョーショー
共産党系, 名詞,固有名詞,一般,*,*,*,共産党系,キョウサントウケイ,キョーサントーケイ
他者, 名詞,一般,*,*,*,*,他者,タシャ,タシャ
入国禁止, 名詞,固有名詞,一般,*,*,*,入国禁止,ニュウコクキンシ,ニューコクキンシ
脚注, 名詞,一般,*,*,*,*,脚注,キャクチュウ,キャクチュー
Cuba, 名詞,固有名詞,一般,*,*,*,Cuba,キューバ,キューバ
称し, 動詞,自立,*,*,五段・サ行,連用形,称す,ショウシ,ショーシ
帰還, 名詞,サ変接続,*,*,*,*,帰還,キカン,キカン
各, 接頭詞,名詞接続,*,*,*,*,各,カク,カク
経済, 名詞,一般,*,*,*,*,経済,ケイザイ,ケイザイ
大統領職, 名詞,固有名詞,一般,*,*,*,大統領職,ダイトウリョウショク,ダイトーリョーショク
遅れる, 動詞,自立,*,*,一段,基本形,遅れる,オクレル,オクレル
ナチス・ドイツ, 名詞,固有名詞,一般,*,*,*,ナチス・ドイツ,ナチスドイツ,ナチスドイツ
東倉里, 名詞,固有名詞,一般,*,*,*,東倉里,トンチャンリ,トンチャンリ
一夜, 名詞,一般,*,*,*,*,一夜,イチヤ,イチヤ
集客力, 名詞,固有名詞,一般,*,*,*,集客力,シュウキャクリョク,シューキャクリョク
見上げ, 動詞,自立,*,*,一段,連用形,見上げる,ミアゲ,ミアゲ
突っ込む, 動詞,自立,*,*,五段・マ行,基本形,突っ込む,ツッコム,ツッコム
ぶれ, 動詞,自立,*,*,一段,連用形,ぶれる,ブレ,ブレ
1965年, 名詞,固有名詞,一般,*,*,*,1965年,センキュウヒャクロクジュウゴネン,センキュウヒャクロクジュウゴネン
欠陥, 名詞,一般,*,*,*,*,欠陥,ケッカン,ケッカン
航空, 名詞,一般,*,*,*,*,航空,コウクウ,コークー
約束, 名詞,サ変接続,*,*,*,*,約束,ヤクソク,ヤクソク
本, 名詞,一般,*,*,*,*,本,ホン,ホン
出港, 名詞,サ変接続,*,*,*,*,出港,シュッコウ,シュッコー
なに, 名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ
!」（, 記号,一般,*,*,*,*,*
１００人, 名詞,固有名詞,一般,*,*,*,100人,ヒャクニン,ヒャクニン
10分, 名詞,固有名詞,一般,*,*,*,10分,ジュップン,ジュップン
そい, 動詞,自立,*,*,五段・ガ行,連用タ接続,そぐ,ソイ,ソイ
償還, 名詞,サ変接続,*,*,*,*,償還,ショウカン,ショーカン
跳ね上がり, 動詞,自立,*,*,五段・ラ行,連用形,跳ね上がる,ハネアガリ,ハネアガリ
国民戦線, 名詞,固有名詞,一般,*,*,*,国民戦線,コクミンセンセン,コクミンセンセン
まるで, 副詞,一般,*,*,*,*,まるで,マルデ,マルデ
種類, 名詞,一般,*,*,*,*,種類,シュルイ,シュルイ
制, 名詞,接尾,一般,*,*,*,制,セイ,セイ
プラン, 名詞,一般,*,*,*,*,プラン,プラン,プラン
館, 名詞,接尾,一般,*,*,*,館,カン,カン
通知, 名詞,サ変接続,*,*,*,*,通知,ツウチ,ツーチ
命, 名詞,一般,*,*,*,*,命,イノチ,イノチ
至っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,至る,イタッ,イタッ
ジャバル・ヤワル, 名詞,一般,*,*,*,*,*
談, 名詞,接尾,一般,*,*,*,談,ダン,ダン
55位, 名詞,固有名詞,一般,*,*,*,55位,ゴジュウゴイ,ゴジュウゴイ
借金, 名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン
求心力, 名詞,一般,*,*,*,*,求心力,キュウシンリョク,キューシンリョク
隣人, 名詞,一般,*,*,*,*,隣人,リンジン,リンジン
テーマパーク, 名詞,一般,*,*,*,*,テーマパーク,テーマパーク,テーマパーク
ひらひら, 副詞,一般,*,*,*,*,ひらひら,ヒラヒラ,ヒラヒラ
バー, 名詞,一般,*,*,*,*,バー,バー,バー
八田浩輔, 名詞,固有名詞,人名,一般,*,*,八田浩輔,ハッタコウスケ,ハッタコウスケ
独立系, 名詞,固有名詞,一般,*,*,*,独立系,ドクリツケイ,ドクリツケイ
とてもとても, 副詞,一般,*,*,*,*,とてもとても,トテモトテモ,トテモトテモ
■, 記号,一般,*,*,*,*,■,■,■
and, 名詞,固有名詞,人名,一般,*,*,AND,アンド,アンド
なか, 名詞,非自立,副詞可能,*,*,*,なか,ナカ,ナカ
Brandt, 名詞,固有名詞,組織,*,*,*,*
激しい, 形容詞,自立,*,*,形容詞・イ段,基本形,激しい,ハゲシイ,ハゲシイ
パンク, 名詞,サ変接続,*,*,*,*,パンク,パンク,パンク
略語, 名詞,一般,*,*,*,*,略語,リャクゴ,リャクゴ
復讐心, 名詞,固有名詞,一般,*,*,*,復讐心,フクシュウシン,フクシューシン
デジタル, 名詞,一般,*,*,*,*,デジタル,デジタル,デジタル
最終的かつ不可逆的な解決, 名詞,固有名詞,一般,*,*,*,最終的かつ不可逆的な解決,サイシュウテキカツフカギャクテキナカイケツ,サイシューテキカツフカギャクテキナカイケツ
臨め, 動詞,自立,*,*,五段・マ行,仮定形,臨む,ノゾメ,ノゾメ
どの, 連体詞,*,*,*,*,*,どの,ドノ,ドノ
顔, 名詞,一般,*,*,*,*,顔,カオ,カオ
dead, 名詞,一般,*,*,*,*,*
臨ん, 動詞,自立,*,*,五段・マ行,連用タ接続,臨む,ノゾン,ノゾン
方, 名詞,接尾,一般,*,*,*,方,カタ,カタ
サチャラプ・シッダーンタ, 名詞,一般,*,*,*,*,*
シュナイダー, 名詞,固有名詞,一般,*,*,*,シュナイダー,シュナイダー,シュナイダー
高める, 動詞,自立,*,*,一段,基本形,高める,タカメル,タカメル
28日, 名詞,固有名詞,一般,*,*,*,28日,ニジュウハチニチ,ニジュウハチニチ
９月, 名詞,副詞可能,*,*,*,*,9月,クガツ,クガツ
congressmen, 名詞,一般,*,*,*,*,*
財政健全化, 名詞,固有名詞,一般,*,*,*,財政健全化,ザイセイケンゼンカ,ザイセイケンゼンカ
企て, 名詞,一般,*,*,*,*,企て,クワダテ,クワダテ
邦題, 名詞,一般,*,*,*,*,邦題,ホウダイ,ホーダイ
leaves, 名詞,固有名詞,組織,*,*,*,*
材質, 名詞,一般,*,*,*,*,材質,ザイシツ,ザイシツ
一般市民, 名詞,固有名詞,一般,*,*,*,一般市民,イッパンシミン,イッパンシミン
狭く, 形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,狭い,セマク,セマク
に当たる, 助詞,格助詞,連語,*,*,*,に当たる,ニアタル,ニアタル
Alejandro, 名詞,一般,*,*,*,*,*
途上国, 名詞,固有名詞,一般,*,*,*,途上国,トジョウコク,トジョーコク
ソフトブレグジット, 名詞,固有名詞,一般,*,*,*,soft Brexit,ソフトブレグジット,ソフトブレグジット
反目, 名詞,サ変接続,*,*,*,*,反目,ハンモク,ハンモク
年内, 名詞,一般,*,*,*,*,年内,ネンナイ,ネンナイ
Police, 名詞,一般,*,*,*,*,*
米朝関係, 名詞,固有名詞,一般,*,*,*,米朝関係,ベイチョウカンケイ,ベイチョーカンケイ
合戦, 名詞,サ変接続,*,*,*,*,合戦,カッセン,カッセン
病気, 名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ
4月, 名詞,固有名詞,一般,*,*,*,4月,シガツ,シガツ
労働者階級, 名詞,固有名詞,一般,*,*,*,労働者階級,ロウドウシャカイキュウ,ロードーシャカイキュー
ビル・ユイル, 名詞,一般,*,*,*,*,*
ベルリン, 名詞,固有名詞,地域,一般,*,*,ベルリン,ベルリン,ベルリン
現状, 名詞,一般,*,*,*,*,現状,ゲンジョウ,ゲンジョー
慰霊, 名詞,一般,*,*,*,*,慰霊,イレイ,イレイ
気が付い, 動詞,自立,*,*,五段・カ行イ音便,連用タ接続,気が付く,キガツイ,キガツイ
パークス, 名詞,固有名詞,人名,一般,*,*,パークス,パークス,パークス
ふっしょく, 名詞,サ変接続,*,*,*,*,ふっしょく,フッショク,フッショク
職務, 名詞,一般,*,*,*,*,職務,ショクム,ショクム
Sparks, 名詞,固有名詞,一般,*,*,*,Sparks,スパークス,スパークス
Airways, 名詞,一般,*,*,*,*,*
流通, 名詞,サ変接続,*,*,*,*,流通,リュウツウ,リューツー
機器, 名詞,一般,*,*,*,*,機器,キキ,キキ
往来, 名詞,サ変接続,*,*,*,*,往来,オウライ,オーライ
慎一, 名詞,固有名詞,人名,名,*,*,慎一,シンイチ,シンイチ
イリノイ, 名詞,固有名詞,地域,一般,*,*,イリノイ,イリノイ,イリノイ
Schumer, 名詞,一般,*,*,*,*,*
今月5日, 名詞,固有名詞,一般,*,*,*,今月5日,コンゲツイツカ,コンゲツイツカ
耐え, 動詞,自立,*,*,一段,連用形,耐える,タエ,タエ
立候補, 名詞,サ変接続,*,*,*,*,立候補,リッコウホ,リッコーホ
潜在, 名詞,サ変接続,*,*,*,*,潜在,センザイ,センザイ
優勢, 名詞,形容動詞語幹,*,*,*,*,優勢,ユウセイ,ユーセイ
60万人, 名詞,固有名詞,一般,*,*,*,60万人,ロクジュウマンニン,ロクジュウマンニン
快哉, 名詞,一般,*,*,*,*,快哉,カイサイ,カイサイ
ハーマン・メルヴィル, 名詞,固有名詞,一般,*,*,*,ハーマン・メルヴィル,ハーマンメルヴィル,ハーマンメルヴィル
3550万円, 名詞,固有名詞,一般,*,*,*,3550万円,サンゼンゴヒャクゴジュウマンエン,サンゼンゴヒャクゴジュウマンエン
追求, 名詞,サ変接続,*,*,*,*,追求,ツイキュウ,ツイキュー
勝者, 名詞,一般,*,*,*,*,勝者,ショウシャ,ショーシャ
全部, 名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ
ハッピー, 名詞,形容動詞語幹,*,*,*,*,ハッピー,ハッピー,ハッピー
唯一, 名詞,一般,*,*,*,*,唯一,ユイイツ,ユイイツ
来場者, 名詞,固有名詞,一般,*,*,*,来場者,ライジョウシャ,ライジョーシャ
投票所, 名詞,固有名詞,一般,*,*,*,投票所,トウヒョウジョ,トーヒョージョ
過料, 名詞,一般,*,*,*,*,過料,カリョウ,カリョー
住居, 名詞,一般,*,*,*,*,住居,ジュウキョ,ジューキョ
隔たっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,隔たる,ヘダタッ,ヘダタッ
タイムトラベル, 名詞,固有名詞,一般,*,*,*,タイムトラベル,タイムトラベル,タイムトラベル
選挙運動, 名詞,固有名詞,一般,*,*,*,選挙運動,センキョウンドウ,センキョウンドー
検閲, 名詞,サ変接続,*,*,*,*,検閲,ケンエツ,ケンエツ
中央テレビ, 名詞,固有名詞,一般,*,*,*,中央テレビ,チュウオウテレビ,チューオーテレビ
疑問, 名詞,形容動詞語幹,*,*,*,*,疑問,ギモン,ギモン
来年, 名詞,副詞可能,*,*,*,*,来年,ライネン,ライネン
慎重, 名詞,形容動詞語幹,*,*,*,*,慎重,シンチョウ,シンチョー
支援者, 名詞,固有名詞,一般,*,*,*,支援者,シエンシャ,シエンシャ
身を切る改革, 名詞,固有名詞,一般,*,*,*,身を切る改革,ミヲキルカイカク,ミオキルカイカク
毎朝, 名詞,副詞可能,*,*,*,*,毎朝,マイアサ,マイアサ
Raul, 名詞,固有名詞,組織,*,*,*,*
政治犯, 名詞,固有名詞,一般,*,*,*,政治犯,セイジハン,セイジハン
ボツリヌス菌, 名詞,固有名詞,一般,*,*,*,ボツリヌス菌,ボツリヌスキン,ボツリヌスキン
減っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,減る,ヘッ,ヘッ
みなす, 動詞,自立,*,*,五段・サ行,基本形,みなす,ミナス,ミナス
押し, 動詞,自立,*,*,五段・サ行,連用形,押す,オシ,オシ
がれき, 名詞,一般,*,*,*,*,がれき,ガレキ,ガレキ
遺憾, 名詞,形容動詞語幹,*,*,*,*,遺憾,イカン,イカン
50分, 名詞,固有名詞,一般,*,*,*,50分,ゴジュップン,ゴジュップン
担う, 動詞,自立,*,*,五段・ワ行促音便,基本形,担う,ニナウ,ニナウ
数時間, 名詞,一般,*,*,*,*,数時間,スウジカン,スージカン
のみ, 助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
アフガニスタン, 名詞,固有名詞,地域,国,*,*,アフガニスタン,アフガニスタン,アフガニスタン
親交, 名詞,一般,*,*,*,*,親交,シンコウ,シンコー
会う, 動詞,自立,*,*,五段・ワ行促音便,基本形,会う,アウ,アウ
顧客, 名詞,一般,*,*,*,*,顧客,コキャク,コキャク
センチ, 名詞,接尾,助数詞,*,*,*,センチ,センチ,センチ
南米, 名詞,固有名詞,地域,一般,*,*,南米,ナンベイ,ナンベイ
午前11時, 名詞,固有名詞,一般,*,*,*,午前11時,ゴゼンジュウイチジ,ゴゼンジュウイチジ
Chuck, 名詞,固有名詞,組織,*,*,*,*
Rex, 名詞,固有名詞,組織,*,*,*,*
不透明, 名詞,形容動詞語幹,*,*,*,*,不透明,フトウメイ,フトーメイ
すでに, 副詞,一般,*,*,*,*,すでに,スデニ,スデニ
まとめ, 動詞,自立,*,*,一段,連用形,まとめる,マトメ,マトメ
解釈, 名詞,サ変接続,*,*,*,*,解釈,カイシャク,カイシャク
それ以降, 名詞,固有名詞,一般,*,*,*,それ以降,ソレイコウ,ソレイコー
goo.gl, 名詞,固有名詞,一般,*,*,*,goo.gl,グーグル,グーグル
ミサイル発射実験, 名詞,固有名詞,一般,*,*,*,ミサイル発射実験,ミサイルハッシャジッケン,ミサイルハッシャジッケン
李洛淵, 名詞,固有名詞,人名,一般,*,*,李洛淵,イナギョン,イナギョン
マイケル・フリン, 名詞,固有名詞,人名,一般,*,*,マイケル・フリン,マイケルフリン,マイケルフリン
特殊部隊, 名詞,固有名詞,一般,*,*,*,特殊部隊,トクシュブタイ,トクシュブタイ
減収, 名詞,サ変接続,*,*,*,*,減収,ゲンシュウ,ゲンシュー
浮かべ, 動詞,自立,*,*,一段,連用形,浮かべる,ウカベ,ウカベ
なかなか, 副詞,助詞類接続,*,*,*,*,なかなか,ナカナカ,ナカナカ
引き合い, 名詞,一般,*,*,*,*,引き合い,ヒキアイ,ヒキアイ
深, 形容詞,自立,*,*,形容詞・アウオ段,ガル接続,深い,フカ,フカ
交わす, 動詞,自立,*,*,五段・サ行,基本形,交わす,カワス,カワス
見張り, 名詞,一般,*,*,*,*,見張り,ミハリ,ミハリ
だれ, 名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ
チェーン, 名詞,一般,*,*,*,*,チェーン,チェーン,チェーン
刑事事件, 名詞,固有名詞,一般,*,*,*,刑事事件,ケイジジケン,ケイジジケン
シリア民主軍, 名詞,固有名詞,一般,*,*,*,シリア民主軍,シリアミンシュグン,シリアミンシュグン
ブリロ, 名詞,固有名詞,一般,*,*,*,ブリロ,ブリロ,ブリロ
ソニー・パーデュー, 名詞,固有名詞,人名,一般,*,*,ソニー・パーデュー,ソニーパーデュー,ソニーパーデュー
振り返る, 動詞,自立,*,*,五段・ラ行,基本形,振り返る,フリカエル,フリカエル
葉, 名詞,一般,*,*,*,*,葉,ハ,ハ
救出, 名詞,サ変接続,*,*,*,*,救出,キュウシュツ,キューシュツ
文学, 名詞,一般,*,*,*,*,文学,ブンガク,ブンガク
標準, 名詞,一般,*,*,*,*,標準,ヒョウジュン,ヒョージュン
変わら, 動詞,自立,*,*,五段・ラ行,未然形,変わる,カワラ,カワラ
少ない, 形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ
賛意, 名詞,一般,*,*,*,*,賛意,サンイ,サンイ
引き出す, 動詞,自立,*,*,五段・サ行,基本形,引き出す,ヒキダス,ヒキダス
係争, 名詞,サ変接続,*,*,*,*,係争,ケイソウ,ケイソー
しゅんこう, 名詞,サ変接続,*,*,*,*,しゅんこう,シュンコウ,シュンコー
ルトゥケ, 名詞,一般,*,*,*,*,*
偏向, 名詞,サ変接続,*,*,*,*,偏向,ヘンコウ,ヘンコー
エリア, 名詞,一般,*,*,*,*,エリア,エリア,エリア
もっと, 副詞,一般,*,*,*,*,もっと,モット,モット
興奮, 名詞,サ変接続,*,*,*,*,興奮,コウフン,コーフン
よ, 助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
言明, 名詞,サ変接続,*,*,*,*,言明,ゲンメイ,ゲンメイ
ベイリー, 名詞,固有名詞,人名,一般,*,*,ベイリー,ベイリー,ベイリー
観光業, 名詞,固有名詞,一般,*,*,*,観光業,カンコウギョウ,カンコーギョー
足り, 動詞,自立,*,*,一段,未然形,足りる,タリ,タリ
歴代大統領, 名詞,固有名詞,一般,*,*,*,歴代大統領,レキダイダイトウリョウ,レキダイダイトウリョー
頭から, 副詞,一般,*,*,*,*,頭から,アタマカラ,アタマカラ
移行, 名詞,サ変接続,*,*,*,*,移行,イコウ,イコー
2017, 名詞,数,*,*,*,*,*
旅行, 名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー
覚め, 動詞,自立,*,*,一段,未然形,覚める,サメ,サメ
can, 名詞,一般,*,*,*,*,*
